DoB,day,month ,year
3-10-1953,3,10,1953
13-2-1993,13,2,1993
25-5-2007,25,5,2007
24-3-1966,24,3,1966
14-1-1999,14,1,1999
15-7-2013,15,7,2013
4-3-1992,4,3,1992
24-1-1982,24,1,1982
28-4-1949,28,4,1949
19-10-2018,19,10,2018
16-2-2007,16,2,2007
25-8-1991,25,8,1991
20-5-1986,20,5,1986
17-7-1943,17,7,1943
21-11-1945,21,11,1945
16-1-1993,16,1,1993
13-11-1993,13,11,1993
9-8-1991,9,8,1991
27-12-1958,27,12,1958
25-9-1995,25,9,1995
4-5-1992,4,5,1992
14-9-2017,14,9,2017
20-4-1968,20,4,1968
28-7-1961,28,7,1961
6-12-1946,6,12,1946
4-6-1967,4,6,1967
28-3-1953,28,3,1953
17-1-1945,17,1,1945
16-10-2004,16,10,2004
15-7-2018,15,7,2018
12-5-1943,12,5,1943
27-9-1950,27,9,1950
10-5-1966,10,5,1966
16-7-1990,16,7,1990
21-1-1961,21,1,1961
25-10-1943,25,10,1943
8-2-1995,8,2,1995
18-8-1974,18,8,1974
13-9-2017,13,9,2017
2-5-1955,2,5,1955
28-12-1991,28,12,1991
2-5-1952,2,5,1952
10-11-1952,10,11,1952
17-8-1951,17,8,1951
23-3-2010,23,3,2010
13-8-1976,13,8,1976
25-7-1980,25,7,1980
4-4-2001,4,4,2001
27-12-1972,27,12,1972
26-4-1989,26,4,1989
23-11-1959,23,11,1959
19-5-1968,19,5,1968
6-3-2008,6,3,2008
23-12-2003,23,12,2003
16-4-1951,16,4,1951
22-9-1956,22,9,1956
28-10-1995,28,10,1995
5-4-1963,5,4,1963
22-1-1998,22,1,1998
23-12-1992,23,12,1992
18-12-1996,18,12,1996
26-9-1996,26,9,1996
21-4-1981,21,4,1981
16-4-1959,16,4,1959
7-5-1972,7,5,1972
1-2-1991,1,2,1991
16-2-1994,16,2,1994
9-3-2007,9,3,2007
27-4-1974,27,4,1974
4-1-1944,4,1,1944
9-11-1965,9,11,1965
2-9-1946,2,9,1946
6-5-2004,6,5,2004
6-7-1983,6,7,1983
12-12-1956,12,12,1956
24-4-1985,24,4,1985
17-1-1969,17,1,1969
27-12-1957,27,12,1957
9-11-1978,9,11,1978
14-2-2014,14,2,2014
13-2-2016,13,2,2016
14-2-1963,14,2,1963
19-7-2007,19,7,2007
14-10-2002,14,10,2002
5-8-1979,5,8,1979
23-7-1955,23,7,1955
20-11-2003,20,11,2003
23-9-1973,23,9,1973
15-8-1993,15,8,1993
20-12-1992,20,12,1992
10-2-1975,10,2,1975
23-2-1977,23,2,1977
13-12-2010,13,12,2010
3-5-1956,3,5,1956
27-9-1952,27,9,1952
28-3-1999,28,3,1999
21-2-2008,21,2,2008
2-6-2012,2,6,2012
19-1-2007,19,1,2007
9-12-1989,9,12,1989
6-7-1986,6,7,1986
13-1-2004,13,1,2004
26-11-1951,26,11,1951
9-4-1982,9,4,1982
25-8-2009,25,8,2009
5-8-1975,5,8,1975
20-9-1982,20,9,1982
18-1-1966,18,1,1966
11-5-2004,11,5,2004
27-5-1994,27,5,1994
10-7-1945,10,7,1945
12-8-2012,12,8,2012
9-10-1998,9,10,1998
12-7-2008,12,7,2008
3-6-1968,3,6,1968
15-3-1964,15,3,1964
15-10-2005,15,10,2005
6-7-1969,6,7,1969
6-1-1969,6,1,1969
4-8-1973,4,8,1973
24-1-2015,24,1,2015
18-2-1959,18,2,1959
15-5-1996,15,5,1996
18-10-1991,18,10,1991
13-11-1945,13,11,1945
15-6-1943,15,6,1943
14-3-1963,14,3,1963
27-12-1997,27,12,1997
14-6-1974,14,6,1974
23-8-2007,23,8,2007
19-5-1944,19,5,1944
18-7-2002,18,7,2002
4-4-1986,4,4,1986
8-3-1957,8,3,1957
6-6-1990,6,6,1990
14-7-2015,14,7,2015
10-2-1978,10,2,1978
21-3-1960,21,3,1960
6-6-2002,6,6,2002
17-3-1970,17,3,1970
16-12-1968,16,12,1968
8-7-1979,8,7,1979
26-7-1951,26,7,1951
6-9-1957,6,9,1957
26-1-1984,26,1,1984
5-6-1991,5,6,1991
3-9-2018,3,9,2018
9-7-1947,9,7,1947
21-11-1973,21,11,1973
5-5-2013,5,5,2013
26-4-1952,26,4,1952
19-5-1969,19,5,1969
16-6-1942,16,6,1942
23-11-2004,23,11,2004
3-5-1956,3,5,1956
