Postcode,Area,City,StreetNumber,StreetName,FullAddress
486,Abbey Caves,Winton,8,Branston Street,"8 Tesla Place, Totara Vale, Auckland"
491,Abbotsford,Fairlie,7B,Riverhead Lane,"7B Tupaea Place, Ngaruawahia"
492,Acacia Bay,Oamaru,178,James Laurie Street,"178 Breezes Road, Aranui, Christchurch"
494,Addington,Taupo,Jul 34,Mahuta Road,"7/34 Uxbridge Road, Mellons Bay, Auckland"
496,Ahuriri,Auckland,11,Ostrich Road,"11 The Octagon, Dunedin Central, Dunedin"
505,Akina,Dunedin,89,Medway Street,"89 Warden Street, Richmond, Christchurch"
510,Albany,Rotorua,14,Milton Street,"14 Matuhi Street, Tirohanga, Lower Hutt"
520,Albany Heights,Lower Hutt,57,Portadown Avenue,"57 Little John Drive, Bellevue, Tauranga"
530,Albert Town,Auckland,147,Palm Beach Boulevard,"147 Dixon Street, Te Aro, Wellington"
540,Alfriston,Otaki,4,Heriot Row,"4 Newall Avenue, Bryndwr, Christchurch"
541,Algies Bay,Christchurch,48,England Street,"48 Bob Charles Drive, Golflands, Auckland"
542,Alicetown,Waipukurau,6901B,Hartley Street,"6901B State Highway 1, Kaitaia"
543,Allenton,Christchurch,1228,Old Te Atatu Road,"1228 Panikau Road, Waimata"
545,Andersons Bay,Kaitaia,22,Claudelands Road,"22 Opahi Bay Road, Mahurangi West"
547,Annesbrook,Christchurch,19,Wallace Street,"19 Allen Street, Methven"
549,Aotea,Nelson,66,Awhenga Place,"66 Gilletta Road, Mount Roskill, Auckland"
550,Appleby,Morrinsville,25,Goldfinch Street,"25 Fitzherbert Avenue, West Harbour, Auckland"
571,Aramoho,Auckland,3E/9,Cowley Place,"3E/9 Bute Road, Browns Bay, Auckland"
573,Aranui,Tauranga,67,Rawhiti Avenue,"67 Grand Vue Road, Kawaha Point, Rotorua"
582,Arapuni,Auckland,116,Dalmeny Street,"116 Bedford Street, Saint Clair, Dunedin"
583,Arkles Bay,Feilding,Apr 49,Owens Terrace,"4/49 Kingsway Avenue, Sandringham, Auckland"
587,Army Bay,Rotorua,87,Albionvale Road,"87 Cannon Hill Crescent, Mount Pleasant, Christchurch"
588,Aro Valley,Taupo,34,Peat Street,"34 Kaka Road, Taihape"
589,Ascot,Whangarei,6/460,Glendevere Terrace,"6/460 Remuera Road, Remuera, Auckland"
